district,party,chamber,name,2018_score,lifetime_score
IL-05,D,1,"Quigley, Mike",97,98
IL-06,R,1,"Roskam, Peter",20,9
IL-07,D,1,"Davis, Danny",97,92
IL-08,D,1,"Krishnamoorthi, Raja",94,97
IL-09,D,1,"Schakowsky, Jan",100,98
IL-10,D,1,"Schneider, Brad",91,93
IL-11,D,1,"Foster, Bill",94,93
IL-12,R,1,"Bost, Mike",3,3
IL-13,R,1,"Davis, Rodney",6,6
IL-14,R,1,"Hultgren, Randy",3,4
IL-15,R,1,"Shimkus, John",6,6
IL-16,R,1,"Kinzinger, Adam",3,6
IL-17,D,1,"Bustos, Cheri",91,88
IL-18,R,1,"LaHood, Darin",0,0
NM-01,D,1,"Lujan Grisham, Michelle",91,91
NM-02,R,1,"Pearce, Steve",0,4
NM-03,D,1,"Lujan, Ben Ray",97,96
UT-01,R,1,"Bishop, Rob",3,2
UT-02,R,1,"Stewart, Chris",3,2
UT-03,R,1,"Curtis, John",0,0
UT-04,R,1,"Love, Mia",17,6
OR-01,D,1,"Bonamici, Suzanne",97,98
OR-02,R,1,"Walden, Greg",6,9
OR-03,D,1,"Blumenauer, Earl",97,96
OR-04,D,1,"DeFazio, Peter",97,92
OR-05,D,1,"Schrader, Kurt",63,70
CT-01,D,1,"Larson, John",94,93
CT-02,D,1,"Courtney, Joe",91,96
CT-03,D,1,"DeLauro, Rosa",91,94
CT-04,D,1,"Himes, Jim",91,95
CT-05,D,1,"Esty, Elizabeth",94,98
AR-01,R,1,"Crawford, Rick",6,5
AR-02,R,1,"Hill, French",6,4
AR-03,R,1,"Womack, Steve",6,4
AR-04,R,1,"Westerman, Bruce",0,1
OK-01,R,1,"Hern, Kevin",0,0
OK-02,R,1,"Mullin, Markwayne",3,1
OK-03,R,1,"Lucas, Frank",6,5
OK-04,R,1,"Cole, Tom",9,7
OK-05,R,1,"Russell, Steve",6,3
IA-01,R,1,"Blum, Rod",3,2
IA-02,D,1,"Loebsack, Dave",94,90
IA-03,R,1,"Young, David",3,3
IA-04,R,1,"King, Steve",9,4
MA-01,D,1,"Neal, Richard",89,92
MA-02,D,1,"McGovern, Jim",100,99
MA-03,D,1,"Tsongas, Niki",86,94
MA-04,D,1,"Kennedy, Joseph",91,95
MA-05,D,1,"Clark, Katherine",94,96
MA-06,D,1,"Moulton, Seth",89,97
MA-07,D,1,"Capuano, Michael",86,96
MA-08,D,1,"Lynch, Stephen",86,95
MA-09,D,1,"Keating, Bill",89,96
IN-01,D,1,"Visclosky, Peter",94,82
IN-02,R,1,"Walorski, Jackie",3,1
IN-03,R,1,"Banks, Jim",0,0
IN-04,R,1,"Rokita, Todd",0,4
IN-05,R,1,"Brooks, Susan",6,4
IN-06,R,1,"Messer, Luke",0,1
IN-07,D,1,"Carson, Andre",94,93
IN-08,R,1,"Bucshon, Larry",3,5
IN-09,R,1,"Hollingsworth, Trey",11,9
NC-01,D,1,"Butterfield, G.K.",91,89
NC-02,R,1,"Holding, George",3,1
NC-03,R,1,"Jones, Jr., Walter",14,22
NC-04,D,1,"Price, David",94,91
NC-05,R,1,"Foxx, Virginia",3,3
NC-06,R,1,"Walker, Bradley",0,0
NC-07,R,1,"Rouzer, David",3,1
NC-08,R,1,"Hudson, Richard",0,1
NC-09,R,1,"Pittenger, Robert",0,1
NC-10,R,1,"McHenry, Patrick",9,3
NC-11,R,1,"Meadows, Mark",0,1
NC-12,D,1,"Adams, Alma",94,98
NC-13,R,1,"Budd, Ted",3,1
VA-01,R,1,"Wittman, Rob",6,11
VA-02,R,1,"Taylor, Scott",9,7
VA-03,D,1,"Scott, Robert",94,91
VA-04,D,1,"McEachin, A. Donald",86,87
VA-05,R,1,"Garrett, Thomas",9,6
VA-06,R,1,"Goodlatte, Bob",0,6
VA-07,R,1,"Brat, David",0,1
VA-08,D,1,"Beyer, Donald",86,96
VA-09,R,1,"Griffith, Morgan",3,5
VA-10,R,1,"Comstock, Barbara",14,7
VA-11,D,1,"Connolly, Gerald",94,97
WA-01,D,1,"DelBene, Suzan",94,95
WA-02,D,1,"Larsen, Rick",89,91
WA-03,R,1,"Herrera-Beutler, Jaime",11,9
WA-04,R,1,"Newhouse, Dan",6,2
WA-05,R,1,"McMorris Rodgers, Cathy",6,3
WA-06,D,1,"Kilmer, Derek",94,94
WA-07,D,1,"Jayapal, Pramila",94,96
WA-08,R,1,"Reichert, Dave",26,35
WA-09,D,1,"Smith, Adam",100,91
WA-10,D,1,"Heck, Denny",94,97
WV-01,R,1,"McKinley, David",11,6
WV-02,R,1,"Mooney, Alex",0,1
WV-03,R,1,"Jenkins, Evan",9,4
DE-AL,D,1,"Blunt Rochester, Lisa",94,96
KY-01,R,1,"Comer, James",0,3
KY-02,R,1,"Guthrie, Brett",0,4
KY-03,D,1,"Yarmuth, John",91,94
KY-04,R,1,"Massie, Thomas",17,12
KY-05,R,1,"Rogers, Harold",6,8
KY-06,R,1,"Barr, Garland",0,1
RI-01,D,1,"Cicilline, David",100,98
RI-02,D,1,"Langevin, Jim",94,96
SC-01,R,1,"Sanford, Mark",40,28
SC-02,R,1,"Wilson, Joe",3,2
SC-03,R,1,"Duncan, Jeff",0,3
SC-04,R,1,"Gowdy, Trey",3,3
SC-05,R,1,"Norman, Ralph",0,0
SC-06,D,1,"Clyburn, James",94,85
SC-07,R,1,"Rice, Tom",0,1
MS-01,R,1,"Kelly, Trent",0,0
MS-02,D,1,"Thompson, Bennie",86,82
MS-03,R,1,"Harper, Gregg",3,3
MS-04,R,1,"Palazzo, Steven",0,2
ME-01,D,1,"Pingree, Chellie",94,96
ME-02,R,1,"Poliquin, Bruce",14,16
ID-01,R,1,"Labrador, Raul",6,4
ID-02,R,1,"Simpson, Mike",14,8
NE-01,R,1,"Fortenberry, Jeff",20,18
NE-02,R,1,"Bacon, Don",6,6
NE-03,R,1,"Smith, Adrian",3,4
KS-01,R,1,"Marshall, Roger",6,3
KS-02,R,1,"Jenkins, Lynn",0,3
KS-03,R,1,"Yoder, Kevin",3,3
KS-04,R,1,"Estes, Ron",0,0
SD-AL,R,1,"Noem, Kristi",3,4
VT-AL,D,1,"Welch, Peter",94,94
CA,D,2,"Feinstein, Dianne",93,90
CA,D,2,"Harris, Kamala",100,100
NY,D,2,"Schumer, Chuck",100,92
NY,D,2,"Gillibrand, Kirsten",100,95
FL,D,2,"Nelson, Bill",71,71
FL,R,2,"Rubio, Marco",0,4
